Year,Month,Day,Hour,Extraterrestrial_Horizontal_Radiation,Extraterrestrial_Direct_Normal_Radiation,Global_Horizontal_Radiation,Flags,Direct_Normal_Radiation,Flags,Diffuse_Horizontal_Radiation,Flags
87,1,1,1,0,0,0,?0,0,?0,0,?0
87,1,1,2,0,0,0,?0,0,?0,0,?0
87,1,1,3,0,0,0,?0,0,?0,0,?0
87,1,1,4,0,0,0,?0,0,?0,0,?0
87,1,1,5,0,0,0,?0,0,?0,0,?0
87,1,1,6,0,0,0,?0,0,?0,0,?0
87,1,1,7,0,0,0,?0,0,?0,0,?0
87,1,1,8,60,566,23,E5,128,E4,9,E5
87,1,1,9,236,1415,132,E5,634,E4,26,E5
87,1,1,10,461,1415,310,E4,830,E4,40,E5
87,1,1,11,634,1415,460,E4,913,E4,50,E5
87,1,1,12,743,1415,558,E4,942,E4,63,E5
87,1,1,13,782,1415,591,E4,951,E4,65,E5
87,1,1,14,746,1415,510,E4,798,E4,89,E5
87,1,1,15,639,1415,436,E4,748,E4,98,E5
87,1,1,16,467,1415,264,E5,528,E4,90,E5
87,1,1,17,244,1415,117,E5,296,E4,65,E5
87,1,1,18,64,613,24,E5,58,E4,18,E5
87,1,1,19,0,0,0,?0,0,?0,0,?0
87,1,1,20,0,0,0,?0,0,?0,0,?0
87,1,1,21,0,0,0,?0,0,?0,0,?0
87,1,1,22,0,0,0,?0,0,?0,0,?0
87,1,1,23,0,0,0,?0,0,?0,0,?0
87,1,1,24,0,0,0,?0,0,?0,0,?0
87,1,2,1,0,0,0,?0,0,?0,0,?0
87,1,2,2,0,0,0,?0,0,?0,0,?0
87,1,2,3,0,0,0,?0,0,?0,0,?0
87,1,2,4,0,0,0,?0,0,?0,0,?0
87,1,2,5,0,0,0,?0,0,?0,0,?0
87,1,2,6,0,0,0,?0,0,?0,0,?0
87,1,2,7,0,0,0,?0,0,?0,0,?0
87,1,2,8,59,566,16,E5,8,E4,15,E5
87,1,2,9,236,1415,93,E5,145,E4,69,E5
87,1,2,10,461,1415,270,E5,444,E4,126,E5
87,1,2,11,634,1415,421,E4,577,E4,162,E5
87,1,2,12,745,1415,546,E4,813,E4,118,E5
87,1,2,13,783,1415,576,E4,847,E4,108,E5
87,1,2,14,748,1415,539,E4,849,E4,90,E5
87,1,2,15,641,1415,446,E4,808,E4,80,E5
87,1,2,16,470,1415,297,E4,693,E4,67,E5
87,1,2,17,247,1415,125,E5,461,E4,44,E5
87,1,2,18,67,613,19,E5,53,E4,14,E5
87,1,2,19,0,0,0,?0,0,?0,0,?0
87,1,2,20,0,0,0,?0,0,?0,0,?0
87,1,2,21,0,0,0,?0,0,?0,0,?0
87,1,2,22,0,0,0,?0,0,?0,0,?0
87,1,2,23,0,0,0,?0,0,?0,0,?0
87,1,2,24,0,0,0,?0,0,?0,0,?0
87,1,3,1,0,0,0,?0,0,?0,0,?0
87,1,3,2,0,0,0,?0,0,?0,0,?0
87,1,3,3,0,0,0,?0,0,?0,0,?0
87,1,3,4,0,0,0,?0,0,?0,0,?0
87,1,3,5,0,0,0,?0,0,?0,0,?0
87,1,3,6,0,0,0,?0,0,?0,0,?0
87,1,3,7,0,0,0,?0,0,?0,0,?0
87,1,3,8,58,542,15,E5,21,E4,13,E5
87,1,3,9,235,1415,115,E5,341,E4,58,E5
87,1,3,10,461,1415,285,E4,538,E4,110,E5
87,1,3,11,635,1415,437,E4,671,E4,136,E5
87,1,3,12,746,1415,539,E4,648,E4,198,E5
87,1,3,13,785,1415,532,E4,659,E4,166,E5
87,1,3,14,750,1415,528,E4,717,E4,148,E5
87,1,3,15,644,1415,445,E4,669,E4,140,E5
87,1,3,16,473,1415,293,E4,556,E4,107,E5
87,1,3,17,250,1415,124,E5,371,E4,59,E5
87,1,3,18,70,637,21,E5,40,E4,17,E5
87,1,3,19,0,0,0,?0,0,?0,0,?0
87,1,3,20,0,0,0,?0,0,?0,0,?0
87,1,3,21,0,0,0,?0,0,?0,0,?0
87,1,3,22,0,0,0,?0,0,?0,0,?0
87,1,3,23,0,0,0,?0,0,?0,0,?0
87,1,3,24,0,0,0,?0,0,?0,0,?0
87,1,4,1,0,0,0,?0,0,?0,0,?0
87,1,4,2,0,0,0,?0,0,?0,0,?0
87,1,4,3,0,0,0,?0,0,?0,0,?0
87,1,4,4,0,0,0,?0,0,?0,0,?0
87,1,4,5,0,0,0,?0,0,?0,0,?0
87,1,4,6,0,0,0,?0,0,?0,0,?0
87,1,4,7,0,0,0,?0,0,?0,0,?0
87,1,4,8,58,542,15,E5,39,E4,11,E5
87,1,4,9,235,1415,118,E5,461,E4,42,E5
87,1,4,10,461,1415,294,E4,707,E4,64,E5
87,1,4,11,636,1415,425,E4,659,E4,128,E5
87,1,4,12,747,1415,525,E4,753,E4,127,E5
87,1,4,13,787,1415,491,E5,603,E4,155,E5
87,1,4,14,753,1415,533,E5,591,E4,218,E5
87,1,4,15,647,1415,374,E5,462,E4,163,E5
